Kód;Elnevezés;Számla típus;Gyűjtő
411;Jegyzett tőke;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
413;Eredménytartalék;Saját tőke;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
414;Fejlesztési tartalék;Saját tőke;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
419;Mérleg szerinti eredmény;Saját tőke;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
43;Nem azonosított tételek;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
431;Nem azonosított bevételek;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
432;---;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
433;---;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
434;Nem azonosított kiadások;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
44;Hosszú lejáratú kötelezettségek;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
441;Hosszú lejáratú bank hitel;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
442;Beruházási és fejlesztési hitelek;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
443;Egyéb hitel;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
45;Rövid lejáratú kötelezettségek;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
451;Rövid lejáratú bank Hitel;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
452;Egyéb rövid lejáratú kötelezettségek;Forrás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
454;Szállítók;Tartozás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
455;Beruházási szállítók;Tartozás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
46;Eredményt terhelő adók elszámolása;Tartozás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
461;Társasági adó kötelezettség;Tartozás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
466;Előzetesen felszámított ÁFA;Kiadás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
467;Fizetendő ÁFA;Tartozás;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
468;ÁFA elszámolási számla;Követelés;=IF(EXACT(A3;LEFT(A4;LEN(A3)));1;0)
